image_path,category,architecture,defect_type,severity,mean_iou_disagreement,max_iou_disagreement,mean_spearman_disagreement,max_spearman_disagreement
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_017.png,hazelnut,vit,cut,0.015684789540816327,0.7751041246743493,0.8981970695571654,0.7683308862235513,0.9884964970139133
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_018.png,hazelnut,vit,cut,0.006138392857142857,0.8032650409031667,0.881751340593731,0.7685603740274848,0.922656603621842
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_019.png,hazelnut,vit,hole,0.016163105867346938,0.8252731785537112,0.8854482340624827,0.8763235932122334,1.0171313658792356
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_020.png,hazelnut,vit,hole,0.008689413265306123,0.8139821835722506,0.8838492523312917,0.867775935704585,1.0737857381994564
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_021.png,hazelnut,vit,hole,0.02951610331632653,0.7469636723457871,0.8657620275877538,0.7424472926814628,0.8991359580132693
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_022.png,hazelnut,vit,hole,0.006377551020408163,0.793663583646968,0.8790867782334035,0.8226114814423391,0.9903667617655298
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_023.png,hazelnut,vit,hole,0.014329559948979591,0.7473647689155647,0.8569168173598554,0.7691623563188051,0.9436187513658351
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_024.png,hazelnut,vit,hole,0.008629623724489796,0.8040075223480564,0.8872263175266806,0.8266890681568523,0.9832257423234011
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_025.png,hazelnut,vit,hole,0.006975446428571429,0.773158069531004,0.8521166723413914,0.7373336868980641,0.9233560304950474
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_027.png,hazelnut,vit,hole,0.012814891581632654,0.8080864844386699,0.9010702450154833,0.8431422344398783,1.0556418141490607
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_028.png,hazelnut,vit,print,0.04486208545918367,0.8037878798858645,0.8851410934744268,0.8484164851054864,0.9779580336626293
